t_index	term	df
1028	appar	193
1029	apparatu	7
1030	appeal	95
1031	appear	196
1032	appel	1
1033	appetit	2
1034	appl	3
1035	applaud	10
1036	applaus	8
1037	appleton	2
1038	appli	18
1039	applic	16
1040	appoint	68
1041	appointe	3
1042	apprais	2
1043	appreci	16
1044	apprehend	4
1045	apprehens	2
1046	apprentic	3
1047	appris	1
1048	approach	49
1049	appropri	18
1050	approv	25
1051	approxim	12
1052	april	67
1053	aprista	4
1054	apron	1
1055	aquil	2
1056	ar	2
1057	arab	61
1058	arabi	1
1059	arabia	71
1060	arabian	44
1061	arafat	16
1062	arantxa	3
1063	arazi	7
1064	arbadi	1
1065	arbit	1
1066	arbitrari	2
1067	arbitrarili	1
1068	arc	1
1069	arch	2
1070	archaeolog	2
1071	archbishop	4
1072	archer	1
1073	archeri	4
1074	archetyp	1
1075	archi	3
1076	archibald	1
1077	architect	7
1078	architectur	4
1079	arctic	6
1080	ardent	4
1081	arduou	1
1082	area	186
1083	aren	16
1084	arena	22
1085	aretz	1
1086	argentin	1
1087	argentina	10
1088	argu	45
1089	arguabl	2
1090	argument	18
1091	ari	1
1092	arid	5
1093	arif	1
1094	arisen	1
1095	arithmet	1
1096	aritomi	4
1097	ariz	8
1098	arizona	7
1099	ark	8
1100	arkadelphia	1
1101	arkan	1
1102	arkansa	28
1103	arkin	2
1104	arleigh	3
1105	arlen	2
1106	arlington	8
1107	arm	133
1108	armament	2
1109	armbrist	1
1110	armei	1
1111	armenia	2
1112	armi	136
1113	armitag	1
1114	armor	17
1115	armori	3
1116	arn	3
1117	arnaud	17
1118	arni	1
1119	arno	1
1120	arnold	3
1121	arnot	1
1122	aros	5
1123	arous	1
1124	arrai	6
1125	arraign	2
1126	arrang	38
1127	arrear	1
1128	arrest	109
1129	arriv	180
1130	arrog	3
1131	arrow	4
1132	arsen	10
1133	arseni	1
1134	arsonist	1
1135	art	4
1136	artfulli	1
1137	arthriti	1
1138	arthur	4
1139	articl	5
1140	articul	1
1141	artifact	1
1142	artifici	4
1143	artist	4
1144	artudo	1
1145	arturo	6
1146	aruba	2
1147	aryapov	1
1148	asa	1
1149	asahi	1
1150	ascend	1
1151	ascrib	4
1152	asean	1
1153	ash	5
1154	asham	1
1155	ashcroft	56
1156	ashkroft	1
1157	ashok	1
1158	ashor	2
1159	ashraf	1
1160	ashtrai	1
1161	asia	32
1162	asian	15
1163	asid	30
1164	ask	196
1165	aspect	11
1166	aspir	2
1167	assad	1
1168	assail	4
1169	assam	6
1170	assassin	21
1171	assault	28
1172	assembl	19
1173	assert	17
1174	assess	48
1175	asset	10
1176	assign	24
1177	assist	76
1178	associ	119
1179	assort	1
1180	assum	38
1181	assumpt	7
1182	assur	35
1183	assuredli	2
1184	astakhov	12
1185	asterisk	2
1186	astonish	7
1187	astound	2
1188	astronom	1
1189	astut	1
1190	asylum	29
1191	asymmetr	2
1192	atal	13
1193	atck	2
1194	atf	2
1195	atfein	1
1196	athal	1
1197	athlet	3
1198	atlant	15
1199	atlanta	6
1200	atmat	1
1201	atmospher	10
1202	atom	4
1203	atop	13
1204	atp	3
1205	atroc	10
1206	atrophi	1
1207	attach	15
1208	attack	306
1209	attain	1
1210	attar	1
1211	attempt	112
1212	attend	68
1213	attent	64
1214	attest	2
1215	attitud	10
1216	attornei	58
1217	attract	15
1218	attribut	12
1219	attrit	1
1220	atwan	1
1221	aubrei	19
1222	aubri	5
1223	audienc	16
1224	audio	4
1225	audiotap	1
1226	auditor	5
1227	auditorium	1
1228	aug	33
1229	augment	1
1230	august	32
1231	aunt	2
1232	aur	5
1233	aura	1
1234	aurora	4
1235	ausi	1
1236	aussi	9
1237	auster	2
1238	austin	18
1239	australia	23
1240	australian	72
1241	austria	3
1242	austrian	1
1243	austro	1
1244	authent	2
1245	author	255
1246	authoritarian	27
1247	auto	1
1248	autocrat	27
1249	autograph	1
1250	autom	1
1251	automat	18
1252	automobil	4
1253	autonom	1
1254	autonomi	3
1255	autopilot	1
1256	autopsi	1
1257	autumn	2
1258	avail	44
1259	avala	1
1260	avalanch	1
1261	aveng	7
1262	avent	1
1263	avenu	4
1264	averag	14
1265	avert	6
1266	aviat	3
1267	aviv	4
1268	avner	2
1269	avoid	59
1270	avow	1
1271	aw	12
1272	awad	2
1273	awai	167
1274	await	27
1275	awaken	2
1276	awar	18
1277	award	9
1278	aweigh	1
1279	awfulli	2
1280	awkward	4
1281	awn	4
1282	awok	1
1283	ax	1
1284	axam	1
1285	ayatollah	1
1286	aykroyd	1
1287	ayman	5
1288	aynaoui	1
1289	ayr	1
1290	ayyam	2
1291	az	1
1292	aziz	1
1293	azul	1
1294	azulai	2
1295	b10202000_bt648	1
1296	b2	1
1297	b92	2
1298	babenko	2
1299	babi	14
1300	babkin	6
1301	baboa	1
1302	back	74
1303	backa	1
1304	backbo	1
1305	backcourt	1
1306	backdrop	4
1307	backer	14
1308	backfir	5
1309	background	4
1310	backhand	14
1311	backho	1
1312	backlash	3
1313	backstop	2
1314	backup	2
1315	backward	3
1316	backyard	1
1317	bacon	18
1318	bad	39
1319	badawi	1
1320	badg	3
1321	badli	39
1322	badrasen	5
1323	baffl	2
1324	bag	14
1325	bagad	1
1326	baggag	1
1327	baghbel	1
1328	baghdad	2
1329	bahg	5
1330	bahrain	35
1331	bai	8
1332	baijubahi	2
1333	bail	4
1334	bailei	6
1335	baird	1
1336	bairnt	1
1337	bait	1
1338	bakarec	3
1339	bake	2
1340	baken	1
1341	baker	5
1342	bakhshish	1
1343	bakri	5
1344	balanc	21
1345	balawat	1
1346	balcacer	2
1347	balconi	11
1348	bald	1
1349	balint	1
1350	balk	4
1351	balkan	25
1352	ball	30
1353	ballard	1
1354	ballast	2
1355	ballena	1
1356	ballist	2
1357	ballo	1
1358	balloon	3
1359	ballot	72
1360	ballroom	2
1361	balonia	1
1362	balsamo	1
1363	baltimor	3
1364	baltin	1
1365	bamba	3
1366	bambi	1
1367	bamboo	4
1368	bament	1
1369	ban	24
1370	ban_trti	1
1371	banco	1
1372	band	11
1373	bandag	8
1374	bandanna	3
1375	bandit	1
1376	bang	7
1377	bangalor	1
1378	bangaru	3
1379	bangladesh	5
1380	bank	69
1381	banker	10
1382	bankrupt	5
1383	bankruptci	4
1384	banner	9
1385	bannon	1
1386	banquet	1
1387	baptist	6
1388	bar	54
1389	barak	9
1390	barb	4
1391	barbar	2
1392	barbara	24
1393	barber	1
1394	barbershop	1
1395	barcelona	1
1396	bare	46
1397	barefacedli	1
1398	barent	36
1399	barg	3
1400	bargain	9
1401	bari	1
1402	bark	1
1403	barkina	2
1404	barkolla	1
1405	barkova	3
1406	barna	4
1407	barnei	1
1408	barnstorm	1
1409	barot	1
1410	barov	1
1411	barr	2
1412	barrack	35
1413	barrag	2
1414	barrel	2
1415	barrera	2
1416	barri	1
1417	barricad	18
1418	barrier	12
1419	bartlett	1
1420	barua	5
1421	base	188
1422	basebal	5
1423	baselin	16
1424	basement	1
1425	basher	1
1426	bashraheel	1
1427	bashrahel	1
1428	basi	15
1429	basic	43
1430	basilica	1
1431	bask	2
1432	basket	3
1433	basketbal	1
1434	basset	1
1435	bassiouni	1
1436	bastion	6
1437	batch	1
1438	bath	4
1439	bathroom	3
1440	bathtub	1
1441	batic	2
1442	baton	4
1443	battalion	3
1444	batten	1
1445	batter	8
1446	batteri	2
1447	battl	78
1448	battlefield	4
1449	battleground	8
1450	bauman	6
1451	bautista	1
1452	bavaria	1
1453	bazaar	1
1454	bbc	29
1455	be	1
1456	beach	17
1457	beachfront	1
1458	bead	1
1459	beal	1
1460	beam	14
1461	bean	3
1462	bear	23
1463	beard	20
1464	bearer	2
1465	beat	79
1466	beaten	31
1467	beater	3
1468	beaumont	1
1469	beauti	6
1470	beaver	1
1471	becausec	1
1472	beci	2
1473	becker	1
1474	bed	35
1475	bedanova	2
1476	bedi	12
1477	bedouin	1
1478	bedroom	6
1479	bedsheet	1
1480	beef	6
1481	beer	2
1482	befit	1
1483	befriend	1
1484	befuddl	1
1485	beg	4
1486	began	156
1487	beggar	1
1488	begin	151
1489	begun	31
1490	behalf	8
1491	behan	1
1492	behari	3
1493	behav	9
1494	behavior	11
1495	beholden	3
1496	beij	3
1497	beirut	9
1498	bekki	3
1499	belaru	1
1500	belch	1
1501	beleagu	3
1502	belgian	5
1503	belgium	6
1504	belgrad	100
1505	beli	1
1506	belida	3
1507	belief	17
1508	believ	292
1509	belittl	1
1510	bell	4
1511	belliger	1
1512	belong	31
1513	belov	5
1514	belt	8
1515	bema	2
1516	bemoan	1
1517	ben	5
1518	bench	4
1519	benchmark	1
1520	bend	2
1521	beneath	31
1522	benefactor	2
1523	benefici	1
1524	beneficiari	1
1525	benefit	17
1526	benevol	7
1527	benign	1
1528	benin	8
1529	benito	1
1530	benjamin	2
1531	bennett	1
1532	benni	1
1533	bent	13
1534	benton	1
1535	bequeath	1
1536	berat	1
1537	bere	1
1538	beresich	1
1539	beretta	1
1540	bergen	1
1541	berger	25
1542	berlin	8
1543	bernstein	2
1544	bershard	1
1545	bershevski	1
1546	berth	2
1547	beschloss	1
1548	beset	2
1549	besieg	4
1550	bespectacl	2
1551	best	101
1552	bet	1
